Cerrado Sala1 01/04/2008 31/05/2008 SG 00-23
JavaL Sala1 01/04/2008 08/04/2008 L 01-08
JaINC Sala1 01/04/2008 30/04/2008 L 01-04_07-20
JavaM Sala1 01/04/2008 12/04/2008 M 01-04_07-20
JavaC Sala1 01/04/2008 20/04/2008 C 03-08
ReunioINC Sala1 01/04/2008 30/04/2008 C 03-08
ReunioJavJV Sala1 01/04/2008 30/04/2008 JV 03-08
ReunioJavIN Sala1 01/04/2008 30/04/2008 JV 03-08
ReunioJavIN Sala2 01/04/2008 30/04/2008 JV 03-08
ReunioJavaL Sala2 01/04/2008 30/04/2008 L 01-04_07-20
ReunioJaINC Sala2 01/04/2008 30/04/2008 L 01-04_07-200
